manufacturer,applicableTo,,,description,companyDetails,effects,exampleProductNames
Ghinroh Clan Forge,X,✓,X,The Rhylox are known for their sense of honor and appreciating combat up close. Their melee weapons are forged by tradition and built for brutality.,"Nestled within the volcanic caverns of their ancestral homeworld, the Ghinroh Clan Forge is one of the oldest and most revered martial lineages among the Rhylox. Unlike many of their kin who embraced modern warfare technologies, the Ghinroh have held steadfast to ancient forging rites passed down through blood and fire. Their weapons are shaped not in sterile factories, but by the hands of master smiths, each strike of the hammer infused with generations of tradition and spiritual purpose.

To the Ghinroh, a weapon is not just a tool—it is an extension of one’s honor, and its creation is a sacred act. Every blade, axe, and warpick is individually handcrafted using alloy-infused obsidian, beastbone carbon, and rare minerals harvested during clan rites. These weapons are not “low-tech” by accident, but by deliberate design. In a galaxy of plasma rifles and railguns, Ghinroh blades carve through armor with brutal efficiency, proving that refined brutality and ancestral craftsmanship still have a place on the battlefield.

Though many view the Ghinroh as primitive or superstitious, those who have faced their warriors in close combat speak only of fear and awe. Their weapons do not fail. They do not falter. And when wielded by a Rhylox whose honor burns as hot as the forge that birthed their blade, they become legendary instruments of war.

To own a Ghinroh weapon is to carry the weight of tradition—and the expectation to wield it with the same unflinching resolve as its creators.","The weapon gains the Lethal (3) trigger option. If it already has it, increase it by +3 instead. Even when the weapon suffered the ""Damaged"" quality, it does not impose penalties.

Weapons by this Manufacturer cost twice the weapon’s price, and another 200 Credits (to pay tariffs), and the rarity increases by +2.

Such weapons have one less mod slot, and Ghinroh Clan Forge does not produce high tech weapons like Plasma Blades or Monowire Whips.","Ruk’Tharr Fang
Molgruun Cleaver
Ashbone Reaper
Gharnak Edge
Vulkran Maul"
Horizons Arms,✓,X,X,"Sturdy and handcrafted, Horizons weapons embrace old-school designs and uncompromising reliability for frontier survival.","Horizons began as an ambitious corporation with a singular mission: to push humanity to the stars. From generational colony ships to frontier survival gear, their product catalog was as expansive as their vision. Among these offerings were firearms designed to help settlers defend themselves on untamed worlds. However, Horizons quickly became infamous among colonists for the glaring unreliability of most of their equipment—except for one surprising exception: their guns.

Unlike their other products, Horizon firearms were built with rugged simplicity in mind. Often hand-assembled to some degree, these weapons earned a reputation for extreme durability and reliability, thriving where even the harshest conditions destroyed more sophisticated gear. Maintenance was minimal, and their straightforward designs ensured that they worked just as well in a settler’s hands as in the heart of a hostile alien wilderness.

Eventually, Horizons faltered. Plagued by legal disputes over catastrophic failures in their colony ships, the company was forced to dissolve most of its operations. Yet, a single division endured: the firearms arm. Stripped of the sprawling corporate machinery, this smaller operation embraced its roots and refined its focus. Today, Horizon Arms crafts hand-made, reliable weapons with an intentionally old-school aesthetic.

Rejecting high-tech frills like smart targeting systems or biometric locks, Horizon Arms champions the philosophy that less is more. Their motto, “Old-School Solutions for New-World Problems.,” is a tribute to the settlers who first relied on their designs and a promise to those still carving out humanity’s future on the frontier.","The first time such a weapon would suffer “Damaged” or jam during a scene, it can be ignored instead.","Pioneer’s Shield
Frontier Warden
Trailbreaker
Colonial Vindicator
Ironhaven"
House Virellan Haute Armoré,X,X,✓,"House Virellan outfits the galaxy’s elite, combining defensive tech with impeccable style. Their clients don’t just survive—they dazzle.","In the palatial orbitals of the Adraleon Cluster, where aristocrats dine beneath crystal-glass domes and duel with rapiers for entertainment, one name reigns supreme in the realm of high-fashion armor: House Virellan.

What began centuries ago as a noble bloodline known for curating ceremonial regalia has evolved into a galactic empire of prestige, influence, and shimmering synth-fiber. House Virellan Haute Armoré blends cutting-edge defense technology with absurdly opulent design, producing combat gear so elegant it's considered insulting to strike first while wearing it.

More than just armor, each Virellan suit is a cultural weapon, adorned in programmable fabrics, jewelry, and pheromone-emitting microbeads tailored to the wearer’s species and status. Their elite clientele includes interstellar diplomats, scandalous pop stars, dueling magnates, and high-ranking courtiers of the Galactic Empire. On the battlefield, the armor performs modestly. In a negotiation room, however, it dominates.

Wearing House Virellan signals more than wealth—it marks someone as untouchable, powerful, or dangerously charismatic. It is rumored that some suits are genetically locked to the buyer’s DNA, and that Virellan tailors reject customers not by credit score, but by vibe.

Despite its focus on appearances, Virellan Haute Armoré has endured assassination attempts, scandalous affairs, and multiple coups. The unofficial slogan whispered by bodyguards and concubines alike is simple: ""If you die in Virellan, you die beautiful.""",Gain +1 pool bonus to all social checks so long as you can be seen.,"Velvet Bastion
The Regal Frame
Radiant Aegis
Pavoné Model-X
Starlaced Mantle"
Korvex Spinalworks,X,✓,X,"Biotech horror meets gladiator brutality. Their weapons integrate organic components—twitching muscle fibers, bone-sheathed edges, or parasitic enhancements. Built by a fringe biotech cult that believes pain is part of warfare.","In the underbelly of the gas giant Leviatheon’s orbital husk, deep within bio-industrial spires stitched together from bonecrete and nerve-wire, Korvex Spinalworks thrives in grotesque splendor. Born from the remnants of a rogue xenobiology cult, Korvex believes that the line between weapon and wielder should not just be blurred—it should be vivisected and rethreaded.

Their melee weapons are not manufactured in any traditional sense. They are grown, cultivated in nutrient vats and guided into form by what Korvex calls “combat-driven evolution.” Blades pulse with vestigial tendons, grips respond to heartbeat patterns, and some weapons even twitch in anticipation of violence. Each Korvex weapon bonds slightly to its wielder upon first contact, adapting to their movements over time—or rejecting them outright.

Where others see abomination, Korvex sees purity: the primal expression of violence, refined through bio-artistry. While many major factions have outlawed their creations due to their parasitic nature and unpredictable behavior, Korvex has found eager buyers among pit fighters, death cults, and soldiers too desperate to care what their weapon hungers for—so long as it kills.

For Korvex Spinalworks, pain is sacred, and every strike is a communion.","The weapon gains the ""Intoxicating"" quality, and repairs itself after one downtime (assuming it was not shattered completely).

The rarity for such weapons is increased by +1 (and has a minimum of 4).","Spinehook Lash
Marrowblade
Clutchfang
Viscera Bite
Parascythe"
Lugtah Codex,✓,X,X,"Alien in form and function, Lugtah weapons blend organic aesthetics with Rhylox martial ingenuity, coveted by elite warriors.","The Lugtah Codex is the human name for a translated collection of designs and philosophies originating from the proud Rhylox clan known as the Lugtah. The Rhylox are famed for their martial prowess and technological ingenuity, and the Lugtah stood out even among their peers as master weapon designers. Their legacy, however, was marred by betrayal.

During a protracted conflict against the Hegemony, a rival Rhylox clan orchestrated a political scheme to disgrace the Lugtah warlord, stripping him of honor and tarnishing the clan’s reputation. Though the Lugtah knew they had been framed, the complex web of Rhylox politics rendered them powerless to fight back directly. In a bold and unorthodox move, they turned to the broader galaxy for salvation.

Breaking from the insular traditions of their people, the Lugtah established a galactic business venture, offering their unparalleled weapon designs to wealthy members of other vassal races, including humans. Their weapons, which blend devastating functionality with the artistic craftsmanship of Rhylox culture, quickly became coveted status symbols among elite warriors and collectors.

This decision infuriated the broader Rhylox clans, who viewed sharing their martial secrets with outsiders as a deep betrayal of their cultural pride. Yet, the Lugtah’s gamble paid off. The wealth and influence they accrued through their offworld dealings allowed them to slowly rebuild their stature within Rhylox society, edging closer to reclaiming their former power.","These weapons can fire 3D printed ammunition without the usual risks involved, and energy-based weapons can simply be recharged using any power socket.

Weapons by this Manufacturer cost twice the weapon’s price, and another 200 Credits (to pay tariffs), and the rarity increases by +2.

Such weapons have one less mod slot, and Lugtah Codex does not produce Holdout Pistols, Small Pistols or Small MPs (these are considered weak weapons anyway). Mods for these weapons need to be compatible with this particular manufacturer, increasing the effective rarity by +1.","Rhylox Fang
Shardpiercer
Honorblade
Luminal
Devourer"
Nova Industries,✓,X,X,"Experimental and futuristic, Nova weapons combine alien-inspired tech with sleek designs, perfect for high-tech combatants.","Nova Industries began with a bold vision and an even bolder founder: Kiara Martinez, a former smuggler turned scientist with an unparalleled knack for innovation. After humanity's subjugation by the Galactic Empire, Kiara resolved to tilt the scales of survival in humanity’s favor. To do so, she leveraged her smuggler connections, taking on dangerous and often illegal work for alien clients. Her true purpose, however, lay beneath the surface—gathering alien tech and artifacts for study.

Over nearly a decade, Kiara meticulously reverse-engineered countless technologies, creating detailed blueprints and prototypes. From cloaking mechanisms to plasma regulators, her collection of alien-derived designs became a treasure trove of potential advancements. When she finally deemed her research complete, she narrowly avoided legal repercussions from the Galactic Empire's convoluted justice system and set her sights on her ultimate goal: arming humanity with the most advanced weaponry imaginable.

Kiara’s pitch to her first angel investor was as audacious as her methods: “I will create the most elaborate, high-tech weapons for mankind. Don’t ask how—I’ll make us rich.” Her charisma and confidence sealed the deal, and Nova Industries was born. Though still a fledgling company, Nova quickly turned heads with its cutting-edge arsenal of experimental energy, laser, and plasma-based weaponry. Soldiers on the frontlines and gun enthusiasts alike were captivated by Nova's bleeding-edge designs, which promised unparalleled firepower and versatility.

However, Nova's rapid rise has not gone unnoticed. Several alien races, recognizing fragments of their own technologies in Nova’s products, have filed patent-theft complaints with the Galactic Empire. Fortunately for Nova, the Empire’s bureaucratic machinery moves at a glacial pace, allowing the company to operate freely - for now.

As whispers of its daring origins spread, Nova’s weapons have become synonymous with risk, ingenuity, and rebellion—a testament to one woman’s determination to equip humanity for whatever lies ahead. Their unofficial slogan, often muttered with a smirk, captures their essence perfectly: ""Because rules don’t win wars.""","Nova exclusively makes plasma, laser or other energy-projectile based weapons. The damage type of a chosen firearm needs to be converted to ""Laser"", ""Electrical"" or ""Fire"". The weapon's cost is doubled, but then you add trigger options & qualities based on the chosen damage type:
Laser = Penetrating (5) (if it already has it, increase it by +2 instead) and Silenced (remove Loud)
Electrical = Concussing
Fire = Plasmascorch","Zenith
Eclipse
Solarflare
Voidpulse Cannon
Plasmaweaver"
Orion Tactical,✓,X,X,"Modular and customizable, Orion guns are a modder’s dream, offering unmatched versatility for personalized builds.","Orion Tactical has built its reputation on one simple promise: adaptability. While most firearms manufacturers focus on either aesthetics or performance, Orion Tactical took a different route, creating weapons that are as much a canvas as they are a tool. Their firearms are prized by gunsmiths, modders, and gearheads who thrive on customization, offering a modularity that’s unmatched in the industry.

At first glance, an Orion firearm might seem purely functional—sleek, minimalist, and without the flair of some of its competitors. But a closer look reveals the brilliance of their design: an array of rails, mounts, and hidden attachment points that invite endless possibilities. From extended barrels and enhanced scopes to under-barrel grappling hooks or experimental power modules, an Orion weapon can be transformed into a precision instrument tailored to its user’s exact needs.

Orion Tactical began as a small engineering outfit working on modular tools for industrial and mining equipment. When one of their prototypes—a mining laser rig capable of swapping out heads for different tasks—caught the attention of a local militia, Orion’s engineers realized their designs had far greater potential. They pivoted to firearms, focusing on creating weapons that could be easily reconfigured for any combat scenario.

Now a favorite among mercenaries, tactical teams, and anyone who values versatility, Orion Tactical has become a household name. Their commitment to modularity is reflected in their unofficial motto, often heard among their customers: ""Your Gun, Your Way."" Whether you’re on the battlefield or tinkering in the workshop, Orion Tactical firearms are more than just weapons—they’re an extension of your ingenuity.","The weapon has +1 mod slot.

Additionally, changing a mod on such a weapon does not require a downtime, but can be done within 5 minutes.","Railstrike Mod-X
Titan’s Grip
Vector Adaptor
Shadowbolt MK1
Vanguard Riser"
Redline Dynamics,X,X,✓,"Lightweight, performance-enhanced armor used by speed freaks and agile skirmishers. Inspired by racer gear and combat sportswear.","Redline Dynamics was never meant to become a military supplier. In fact, its roots lie in Earth’s pre-Galactics era, where it reigned as the premier outfitter for high-impact sports—football, hover-racing, grav-combat leagues. Known for lightweight padding systems, responsive muscle-support exosuits, and anti-trauma tech, Redline gear became synonymous with speed, agility, and showmanship.

When the Galactic Empire drafted Earth into its vassal ranks, everything changed. With humans suddenly thrown into alien conflicts, Redline saw an opportunity: if their gear could protect athletes from cybernetic linebackers, maybe it could stop a explosives and bullets too.

They retooled overnight. Helmets were reengineered to withstand ballistic shock. Polyfiber jerseys were reforged into flexible, impact-dispersing undersuits. Even their energy recycling tech—originally used to boost athlete stamina—was reworked into combat adrenaline stims. To everyone’s surprise, it worked. Soldiers praised Redline’s armor for how it let them move, dodge, live. Not to mention, it looked damn cool.

Now, Redline Dynamics occupies a unique niche. Their suits aren’t designed for tanking hits—they’re made for those who’d rather not get hit at all. Favored by scouts, recon units, skirmishers, and war-crazed sports fans, Redline gear is flashy, fast, and full of attitude.",Gain +2 speed and +2 pool bonus on Defense.,"Breakrush EX
Halftime Hardsuit
Blitzcarve V2
Dashmantle
Overdrive Shell"
Triton Systems,✓,✓,X,"Compact and discreet, Triton firearms are masters of concealment, favored by those who value stealth and portability.","Triton Systems has earned its reputation as the master of subtlety in the firearms industry. Specializing in compact, foldable, and easily disassembled weaponry, Triton’s designs are officially marketed as ideal for efficient storage and transport—perfect for explorers, pilots, or anyone with limited space. But unofficially, these same traits have made Triton a favorite among less savory clientele, including smugglers, assassins, and covert operatives.

Their firearms, often referred to as ""Lego Shooters,"" have a distinctive modular design that not only allows for effortless assembly and disassembly but also gives them a sleek, unassuming appearance. To the untrained eye, a Triton weapon might look like nothing more than a piece of innocuous machinery or a harmless tool. This illusion, coupled with their compact frames, has made them infamous for slipping past checkpoints and into restricted areas.

Triton Systems emerged from a niche demand for practical, space-saving equipment for deep-space crews and planetary explorers. However, as word spread of their firearms’ unparalleled concealability, they quickly became the go-to manufacturer for those working in the shadows. Despite this, Triton avoids heavy weapons entirely, choosing to focus exclusively on sleek, personal firearms designed for discretion and precision.","The weapon gains “Concealed (3)”. If it already has it, decrease the Concealed quality by 1 (to a minimum of 1).

Not applicable to heavy weapons, as Triton does not manufacture these.","Mirage Compact
Stealthgun
Blank Mk. 2
The Guitar Case
Puzzlemaster 3"
Umbraweave Collective,X,X,✓,"Crafted from alien-origin stealth tech, Umbraweave suits turn operatives into whispers on the battlefield.","The sleek stealth suits of the Umbraweave Collective were never meant to exist without permission.

During the later years of humanity’s resistance against the Hegemony, the Lurakans—an enigmatic alien species known for their precision engineering and obsession with secrecy—handpicked a covert cell of human operatives. The mission: disrupt Hegemony operations through sabotage, espionage, and targeted assassinations. To aid their human assets, the Lurakans gifted them a limited license to use advanced stealth armor tech—woven photomagnetic thread, sound-cancelling mesh, heat-baffling nanofibers. It worked. And humanity remembered.

After the war, a private human enterprise secured an official lease for the Umbraweave schematics from the Lurakans, hoping to turn black-ops glory into profit. For a while, they succeeded—producing elite-grade stealth suits for planetary intelligence services and corporate security. But licensing alien tech wasn’t cheap, and when the company’s debt eclipsed its military contracts, it collapsed.

Now, the original designers—ex-employees turned fugitive engineers—continue to produce Umbraweave armor in hidden workshops and orbital slums. Each suit is a handcrafted masterpiece of outlaw tech, lacking the official Lurakan seal but every bit as deadly. These ghost-wrights sell their armor to mercs, smugglers, resistance cells, and anyone willing to pay for near-invisibility.

The Lurakans disavow the Collective’s work, but they haven’t shut it down. Some say they like the chaos it sows.","Targets have +1 difficulty to try and notice you. Alternatively, you benefit from -1 difficulty on Infiltration rolls.

Not applicable to Power Armor.","Wraithskin
Silentcurve
Nulltrace Shroud
Ghostform Wrap
Velshade Mantle"
Vanguard Precision,✓,X,X,"Vanguard Precision specializes in high-accuracy, long-range firearms engineered for sharpshooters and marksmen who demand the best.","Vanguard Precision emerged during the early days of humanity’s integration into the Galactic Empire as a small boutique operation catering exclusively to elite military snipers. Founded by ex-military engineer Vadim Roshkov, Vanguard quickly gained a reputation for designing firearms with unprecedented accuracy and stability. Their early success came from innovations like integrated targeting algorithms and recoil dampeners, which gave marksmen a decisive edge in combat.

As their reputation grew, Vanguard expanded its offerings to include a full line of precision rifles, laser carbines, and energy-based sniper systems, all designed with the same obsessive attention to detail. Despite their growing size, they remain focused on delivering weapons that embody precision and reliability. With sleek designs and minimalistic aesthetics, Vanguard Precision firearms are tools for those who believe that a single shot can change the tide of battle. Their motto, “One Shot, One Victory,” encapsulates their philosophy.",Increase the optimum and maximum range of the firearm by +100% - this does not stack with other scopes.,"VP Specter Longshot
Apex R
Farstriker Mk. 4
Horizonbolt
Onyx Widow"
