career,talent,description,Tier
Field Medic,Sprinter,You passively gain +3 speed.,0
Field Medic,Third Wind,"You can use the ""Second Wind"" action up to twice per day, and halve its AP costs.",0
Field Medic,Efficient Treatment,"When performing First Aid, you may count every Trigger as an additional success.",1
Field Medic,Trigger Discipline,"If you successfully attack, you may convert up to 2 surplus successes into one trigger each instead.",1
Field Medic,Juiced Up,"When performing First Aid, you can spend one Trigger to provide the target with +1 Soak and +2 pool bonus to all physical checks for this and the next round.",2
Field Medic,Steady Aim,"If you used the ""Prepare"" action at least twice, you also add a free trigger to the attack.

Additionally, you can stack the bonus from ""Prepare"" up to +5.",2
Field Medic,Reanimation,"If the target has been dead for less than 5 minutes, you may attempt a Medicine check with difficulty 5. On a success, the target is successfully reanimated, but will be uncapable to actively act for at least one hour.",3
Field Medic,Evasive,"You remove the default -3 pool penalty for your dodge & parry checks, and you can perform one dodge or parry per round for only 1 AP cost instead of 2.",3
Field Medic,Training: Intelligence,"Gain +1 Intelligence. If you already have 8 Intelligence (not counting cybernetic enhancements), you may increase another attribute instead.",4
Field Medic,Precision Trauma,"When attacking biological entities, you may spend one Trigger each to add +1 injury die.",5
Field Medic,Drug Expert,"If you administer drugs, you may attempt a Medicine d2 check. If you succeed, the target may ignore any draw backs or risks of addiction.",5
Field Medic,Self-Treatment,You may ignore the penalty to perform First Aid or Surgery on yourself.,6
Field Medic,Lethal Attacks,"If you cause an injury roll, the target adds three dice to that roll.",6
Field Medic,Training: Agility,"Gain +1 Agility. If you already have 8 Agility (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Scientist,Anatomical Insight,You do not suffer penalties when treating unfamiliar species.,0
Scientist,Linguist,Immediately determine two additional languages which you now speak fluently.,0
Scientist,Drug Manufacturing,"As a downtime activity, if you have access to a lab, you may perform a Science d0 check. For each success you may create one drug of your choice (e.g. Stim Pack, Pain Meds. etc). You have to pay half the price of the item in raw materials.",0
Scientist,Anticipation,"Once per session, you may declare that your character had prepared for the current situation, and may have spent up to one hour for said preparation.",1
Scientist,Xeno Engineer,You do not suffer penalties when you use or repair alien technology.,1
Scientist,Sterilization,"When you perform Surgery, you can spend one Trigger each to provide the target with +2 pool during its next rest, or an additional 10% health recovered.",2
Scientist,Flight Tracking,"When using the Calculate Flight Path ship action, you may ignore the first 3 vessels before you increase the difficulty of the check.",2
Scientist,Surgeon,Reduce the difficulty of checks during surgery by 1. Alternatively you may halve the time.,3
Scientist,Irreproducible Prototype,"You obtain one weapon, gagdet, tool, armor or drone that you personally made, but are unable to mass-produce. If your prototype is ever destroyed, you may come up with a completely new prototype by spending a downtime activity.",3
Scientist,Training: Education,"Gain +1 Education. If you already have 8 Education (not counting cybernetic enhancements), you may increase another attribute instead. ",4
Scientist,Reboot Shield Matrix,"Once per encounter, you can spend 6 AP to perform a Tech d0 check. For each success, your ship regains 5 shield points.",5
Scientist,Stroke of Genius,"Once per session, you may request the GM to provide insight on a current scientific or technological problem.",5
Scientist,Wonder Doctor,You can perform Surgery and First Aid up to twice per patient per day / encounter.,6
Scientist,Phantom Scan,You can use the Scan Interior ship action even if the target vessel has active shields and others have to perform a Sensors d4 check to even notice your scan.,6
Scientist,Training: Intelligence,"Gain +1 Intelligence. If you already have 8 Intelligence (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Agent,Lockpicker,You reduce the difficulty to pick mechanical and technological locks by 1.,0
Agent,Far Shot,"Increase the upper ranges (optimal and maximum) of all firearms you use by 30%. When shooting within max range, you suffer -1 pool penalty instead of +1 difficulty. ",0
Agent,Spy,"When you hide listening bugs or espionage viruses, you gain +3 pool to hide them well.",0
Agent,Linguist,Immediately determine two additional languages which you now speak fluently.,1
Agent,Concealment,"When attempting to hide in a stationary position, or when hiding objects, you gain gain +3 pool. If the thing still gets discovered against your will, you re-gain one edge point.",1
Agent,"Breath In, Exhale, Fire","If you can see your target, you can perform this action by spending 3 AP to gain a free success, trigger or complication on your next shot against them.
If you perform any other action in the meantime, the benefit is lost.",2
Agent,Mirror,"You can perfectly imitate voices and mannerisms of others after you heard & saw them for a while, adding +5 pool on Infiltration tests when you impersonate them.",2
Agent,White Lies,Everyone who tries to uncover or see through your lies suffers a -3 pool penalty on any test relevant to the lie.,3
Agent,Relentless Pursuit,"If you pursue a target that tries to escape, you can spend an edge point and then make a roll on Infiltration, Athletics or Acrobatics to create a shortcut, distraction or other helpful aid to make your pursuit a success.",3
Agent,Training: Coolness,"Gain +1 Coolness. If you already have 8 Coolness (not counting cybernetic enhancements), you may increase another attribute instead.",4
Agent,Assassin,"If you attack an unaware target from out of stealth, you can increase the ""Lethal"" quality of your weapon by +6. If it doesn't have it, it gains Lethal (6).",5
Agent,Efficient Subroutines,You can spend the first 2 Triggers of any hacking attempt to gain an additional Access Token.,5
Agent,Vanish,"You can spend an edge point to make an infiltration roll against the best vigilance pool among your enemies. If you succeed, you cause a distraction and become practically undetectable for one round.",6
Agent,Danger Sense,You convert three dice from your vigilance rolls into expertise dice when you need to perceive danger or threats.,6
Agent,Training: Personality,"Gain +1 Personality. If you already have 8 Personality (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Hacker,Fasthack,"When you perform Probed Hacking, you halve the time required.",0
Hacker,Efficient Subroutines,You can spend the first 2 Triggers of any hacking attempt to gain an additional Access Token.,0
Hacker,Concealment,"When attempting to hide in a stationary position, or when hiding objects, you gain gain +3 pool. If the thing still gets discovered against your will, you re-gain one edge point.",0
Hacker,Phishing Network,"When your system gets compromised, there is a 50% chance that the countering system locates a wrong device (of an innocent bystander).",1
Hacker,Living Shadow,"When you are surrounded by darkness, you gain +1 defense and reduce the difficulty of infiltration and skullduggery tests by 1.",1
Hacker,System Redundancies,"Increase the maximum integrity your device can suffer before becoming compromised by 30%.
Additionally reduce the difficulty to restore your device by 1.",2
Hacker,Tinkerer,"You may declare one personal weapon or armor that gains +1 Mod Slot, and a unique modification that you invented. Due to the quirkiness of the modification, only you can make use of it.",2
Hacker,Monitoring,"Whenever a device gains an access token on your system, the DM may make a secret Computers check for you. If you have at least 4 successes, you become aware of the attempt and the network address of the attacker.",3
Hacker,Cybersecurity Specialist,"You can attempt to hack an enemy system with -2 Firewall and IC Level. On that roll, you can spend resulting Access Tokens only on the the ""Cancel"" hacking option.",3
Hacker,Training: Intelligence,"Gain +1 Intelligence. If you already have 8 Intelligence (not counting cybernetic enhancements), you may increase another attribute instead.",4
Hacker,System Hardening,"As a new downtime activity, you may declare one device. You install custom subroutines, permanently granting that device +1 Firewall and +1 IC Level. Cannot be stacked multiple times on the same device.",5
Hacker,Synergetic Installation,All cyberware you install costs 25% less occupation (round down).,5
Hacker,Overload,"You can spend 4 Access Tokens on a target device to destroy it, making longer repairs necessary before it functions again.",6
Hacker,Biofeedback Shock,You can spend 3 Access Tokens against implanted network devices to immediately cause 12 damage (ignoring soak and armor) against the user.,6
Hacker,Training: Intelligence,"Gain +1 Intelligence. If you already have 8 Intelligence (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Celebrity,Inheritance,You immediately obtain 20 Assets.,0
Celebrity,First Impression,"If you meet an NPC for the first time, you may attempt an Empathy d3 check.
If you succeed, the NPC will meet you with a friendlier demeanor (which may benefit further social checks).",0
Celebrity,Motivational Speech,"Once per session, you can spend 30 minutes and make an Empathy d0 check. For each success, you may restore one Edge point among those who observe you - distribute as you like.",0
Celebrity,Connections,"Once per session, you are guaranteed to find a seller / buyer for an item that you want to buy or sell. Only possible when there is reasonable civilization nearby.",1
Celebrity,Seducer,"Once per session, you may use seduction as a component of your Con Arts check - you must announce the use before the roll. If you do, you may re-roll the check once and keep the better result.",1
Celebrity,Cash Flow,"After each adventure, you obtain 2d6 * 100 Credits from royalties or dividents.",2
Celebrity,Galaxy-Wide Fans,"Once per session, you may declare an NPC to be a fan of your art. They will do their best to help or comfort you.",2
Celebrity,Haggler,"Instead of rolling to negotiate, you may reduce the asset / credits cost of all things you buy by a flat 20%.",3
Celebrity,Grip On Life,"Triple the duration of the ""Dying"" condition when you suffer from it. Additionally, you can ignore the ""Unconscious"" condition, but suffer +1 difficulty on all actions.",3
Celebrity,Training: Personality,"Gain +1 Personality. If you already have 8 Personality (not counting cybernetic enhancements), you may increase another attribute instead.",4
Celebrity,White Lies,Everyone who tries to uncover or see through your lies suffers a -3 pool penalty on any test relevant to the lie.,5
Celebrity,Mob Of Fans,"If you are in a public area, once per session, you may trigger a mob of fans to appear and help you. They will either cause a helpful distraction or even fight for you (within reason).",5
Celebrity,Notorious Liar,Once per day you may declare a lie as being so bullet-proof that no test is necessary to make NPCs believe it.,6
Celebrity,Quick Witted,"You only need to spend 1 AP to ready your weapon instead of 3, and your first attack of a given encounter gains +2 pool.",6
Celebrity,Training: Coolness,"Gain +1 Coolness. If you already have 8 Coolness (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Smuggler,Connections,"Once per session, you are guaranteed to find a seller / buyer for an item that you want to buy or sell. Only possible when there is reasonable civilization nearby.",0
Smuggler,Concealed Approach,"Enemies suffer -4 pool to discover your vehicle when you have means to hide it (e.g. a space ship inside a gas giant, or a car in the woods).",0
Smuggler,Unpredictable Aim,"When targets attempt to actively dodge your shots, they suffer a -2 pool penalty.",0
Smuggler,Thug Language,"If you become threatened or provoked by thugs, bandits or similar scum, you gain +4 pool for any attempts to avoid conflict.",1
Smuggler,Effective Navigation,"When performing the Maneuver action, you may accept a -1 pool penalty to then gain either +1 speed or +1 maneuverability.",1
Smuggler,Evasive Positioning,"When you perform the Evade ship action, you gain +1 Soak against that attack for every Trigger rolled (you can spend them on other things).",2
Smuggler,Point Blank,"You reduce the difficulty increase of your ranged attacks while being near melee fighters to +1 instead of +2. Additionally, deal +2 damage (with ranged attacks) against targets within range 2.",2
Smuggler,Secret Stash,"After each adventure, roll 1d6 and multiply the result by 100. Track the result and add it to a new total. At any point during a session you may claim knowledge about a secret stash nearby. It contains items but you have to spend Credits from the pool of this talent to pay for them.",3
Smuggler,Concealment,"When attempting to hide in a stationary position, or when hiding objects, you gain gain +3 pool. If the thing still gets discovered against your will, you re-gain one edge point.",3
Smuggler,Training: Coolness,"Gain +1 Coolness. If you already have 8 Coolness (not counting cybernetic enhancements), you may increase another attribute instead.",4
Smuggler,Vehicle Specialization,"Gain +2 pool when operating a type of vehicle that you need to declare upon obtaining this talent:
Ground Vehicles, Atmospheric Vehicle, Space Ships or Drones.",5
Smuggler,Danger Sense,You convert three dice from your vigilance rolls into expertise dice when you need to perceive danger or threats.,5
Smuggler,Experimental Upgrade,"You may apply a unique upgrade to one of your ship's modules. If the module is ever destroyed or lost, you may create a different, new one as a downtime activity.",6
Smuggler,Dual Wield,"You can perform an attack with two one-handed weapons (or fists) at once. Pay the full AP costs of one weapon, and half the AP costs (round down) of the other. You make two separate attacks.",6
Smuggler,Training: Personality,"Gain +1 Personality. If you already have 8 Personality (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Enforcer,Will To Survive,"Halve the injury modifiers that you receive from injuries (add them all up, then halve, round up).",0
Enforcer,Intimidation,"You may attempt a Command d3 check by spending 4 AP against a target in range 10. If you succeed, the target immediately loses 4 AP.",0
Enforcer,Charge,"You can perform a melee attack and increase the AP costs by +2 to first move a number of squares equal to your speed. If you moved at least 5 squares to reach your target, you gain 2 free triggers on the attack.",0
Enforcer,Unkillable Beast,"Reduce the pool of all injury rolls by 4 dice, to a minimum of 1.",1
Enforcer,Riposte,"When you perform the Parry action, you only require one Trigger to perform the counter attack, and you may spend surplus triggers (after the needed Trigger for the counter attack) as usual to activate talents or your weapon's trigger options.",1
Enforcer,Malfunction Resilience,"Once per session, you may ignore all Cyber Malfunction symbols of a given injury roll.",2
Enforcer,Heavy Blow,"You may double the AP costs of your melee attack, but if successfull, you gain 3 free triggers.",2
Enforcer,Sweep,"When you perform a melee attack, you can spend 1 Trigger each to hit an additional target within range for half the damage - you do not apply other trigger options to those hits.",3
Enforcer,Weapon Mastery,Choose a specific melee weapon upon learning this talent. You always gain 1 free trigger when attacking with that weapon.,3
Enforcer,Training: Strength,"Gain +1 Strength. If you already have 8 Strength (not counting cybernetic enhancements), you may increase another attribute instead.",4
Enforcer,Quick Recovery,Treating or regenerating your injuries has -1 difficulty.,5
Enforcer,Dual Wield,"You can perform an attack with two one-handed weapons (or fists) at once. Pay the full AP costs of one weapon, and half the AP costs (round down) of the other. You make two separate attacks.",5
Enforcer,Cyberadaption Training,You gain +4 Cyberimmunity.,6
Enforcer,Lethal Attacks,"If you cause an injury roll, the target adds three dice to that roll.",6
Enforcer,Training: Constitution,"Gain +1 Constitution. If you already have 8 Constitution (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Commander,Tactical Commander,"You may distribute the generated triggers from ""Assist"" freely among team members, and you may convert your own triggers into successes on a 1:1 basis (instead of 2:1).",0
Commander,Tactical Advance,"Once per round, when you perform a reload or attack action with a firearm, your free movement becomes half your speed (round up) instead of just 1.",0
Commander,Helping Hand,"Whenever you support another character in a task, you may use your expertise in Command instead of using the involved skill. Additionally, you roll one additional die when supporting.",0
Commander,Combat Clarity,"Once per encounter, you may immediately gain 2 AP.",1
Commander,Pull Together,"Once per day, you can declare any one wound you are suffering from and ignore its effects for the remainder of that day (so long as it is technically possible - you cannot ignore that you lost an arm).",1
Commander,Quick Witted,"You only need to spend 1 AP to ready your weapon instead of 3, and your first attack of a given encounter gains +2 pool.",2
Commander,Air Of Authority,"Once per round, at any time, you may lose 2 AP to provide an ally with 3 AP.",2
Commander,Demand Obedience,"You may perform a Command d3 check against a neutral NPC or bystander. If you succeed, that NPC will perform one helpful action, plus another action for every surplus success. In combat, you need to spend 6 AP and have a range of 10.",3
Commander,Call Target,"You may spend 4 AP and perform a Command d2 check. If you succeed, all attacks against your called target gain a free Trigger for this and the next round.",3
Commander,Training: Coolness,"Gain +1 Coolness. If you already have 8 Coolness (not counting cybernetic enhancements), you may increase another attribute instead.",4
Commander,Field Doctor,Medicine checks to provide First Aid only require 5 instead of 8 AP.,5
Commander,Danger Sense,You convert three dice from your vigilance rolls into expertise dice when you need to perceive danger or threats.,5
Commander,Trigger Discipline,"If you successfully attack, you may convert up to 2 surplus successes into one trigger each instead.",6
Commander,Anticipation,"Once per session, you may declare that your character had prepared for the current situation, and may have spent up to one hour for said preparation.",6
Commander,Training: Personality,"Gain +1 Personality. If you already have 8 Personality (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Navy,Specialized Gunner,"Choose a specific type of ship weapon (e.g. laser, missile, railgun etc.) upon learning this talent. You always gain 1 free trigger when attacking with that weapon.",0
Navy,Astrogation,"When using FTL drives and making a Science check, you may spend one Trigger each to increase the range of the jump by +50%. If you plan to perform several chained jumps, you only make a single roll and apply the bonus to all jumps.",0
Navy,Fighter Piloting,"When performing the Maneuver action, you may spend 2 Triggers. If you do, you reduce the AP cost of your next vehicle / space combat action by the AP cost of your maneuver action.",0
Navy,Zero-G Finesse,You ignore penalties on physical actions resulting from Zero-G environments.,1
Navy,Brace For Impact,"You unlock a new action for ship combat: You can spend 4 AP to brace the systems of your ship for impact. Perform a Tech d3 roll. If you succeed, reduce the pool of all malfunction rolls for this and the next round by 3. ",1
Navy,Combat Docking,"Halve all pool penalties of the Dock action, and your crew gains +2 pool on their first attack upon boarding.",2
Navy,Weakspot Analysis,"When attacking mechanical entities and you make them roll for malfunction, they add +3 dice.",2
Navy,Point Defense,"If you use the ""Point Defense"" weapon quality of a space ship weapon, you reduce the difficulty to hit a missile or torpedo by 2.",3
Navy,Flight Tracking,"When using the Calculate Flight Path ship action, you may ignore the first 3 vessels before you increase the difficulty of the check.",3
Navy,Training: Agility,"Gain +1 Agility. If you already have 8 Agility (not counting cybernetic enhancements), you may increase another attribute instead.",4
Navy,Expert Jury-Rigger,"You reduce the difficulty of the Jury-Rig action, as well as the Repair Ship downtime activity by 1.",5
Navy,Multitasking Admiral,"Once per round, you can spend 1 AP to make a supporting skill check to aid any one allied crew member in their next task. Additionally, increase the multitasking capacity of your ship's AI by +1.",5
Navy,Sub-System Targeting,"You may spend one Trigger on your gunnery checks. If the target ship suffers a malfunction, you may choose a malfunction within the rolled severity level.",6
Navy,Rank and File,"You may draft 2 NPCs that will serve you as crew members. They have all attributes on level 4 and expertise 1 in all relevant skills. Choose 2 skills for each of them which they gain +2 expertise in. They can perform the ""Train Skill"" downtime activity a number of times based on your own level.",6
Navy,Training: Intelligence,"Gain +1 Intelligence. If you already have 8 Intelligence (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Pirate,Salvager,"When repairing systems or equipment, you only need half the materials.",0
Pirate,Combat Docking,"Halve all pool penalties of the Dock action, and your crew gains +2 pool on their first attack upon boarding.",0
Pirate,Thug Language,"If you become threatened or provoked by thugs, bandits or similar scum, you gain +4 pool for any attempts to avoid conflict.",0
Pirate,Intimidation,"You may attempt a Command d3 check by spending 4 AP against a target in range 10. If you succeed, the target immediately loses 4 AP.",1
Pirate,Lockpicker,You reduce the difficulty to pick mechanical and technological locks by 1.,1
Pirate,Fighter Piloting,"When performing the Maneuver action, you may spend 2 Triggers. If you do, you reduce the AP cost of your next vehicle / space combat action by the AP cost of your maneuver action.",2
Pirate,Point Blank,"You reduce the difficulty increase of your ranged attacks while being near melee fighters to +1 instead of +2. Additionally, deal +2 damage (with ranged attacks) against targets within range 2.",2
Pirate,Monkey Patch,"You unlock a new action for ship combat: You can spend 8 AP to perform a Tech d0 check. For each success, your ship regains 2 hull points, but reduces its maximum hull by 1 until it received major maintenance at a space port. You may also spend one Trigger each to restore one armor durability.",3
Pirate,Concealed Approach,"Enemies suffer -4 pool to discover your vehicle when you have means to hide it (e.g. a space ship inside a gas giant, or a car in the woods).",3
Pirate,Training: Agility,"Gain +1 Agility. If you already have 8 Agility (not counting cybernetic enhancements), you may increase another attribute instead.",4
Pirate,Emergency Evasion,"Once per encounter, you can perform the Evade action without having to spend Action Points, and add +5 pool to that attempt.",5
Pirate,Unpredictable Aim,"When targets attempt to actively dodge your shots, they suffer a -2 pool penalty.",5
Pirate,Sub-System Targeting,"You may spend one Trigger on your gunnery checks. If the target ship suffers a malfunction, you may choose a malfunction within the rolled severity level.",6
Pirate,Grand Theft Ship,"You become a member of an esteemed underworld ring of pirates. You can bring them stolen ships to gain 20% of that ship's total asset value, no questions asked.",6
Pirate,Training: Coolness,"Gain +1 Coolness. If you already have 8 Coolness (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Engineer,Tinkerer,"You may declare one personal weapon or armor that gains +1 Mod Slot, and a unique modification that you invented. Due to the quirkiness of the modification, only you can make use of it.",0
Engineer,Cybernetic Maintenance,Reduce the difficulty of tech checks to repair cyberware by 1.,0
Engineer,Gun Nut,"The difficulty to modify or repair firearms is reduced by 1.
Additionally, you only need half the usual AP costs to fix minor issues (like jamming) during an encounter.",0
Engineer,Salvager,"When repairing systems or equipment, you only need half the materials.",1
Engineer,Perfected Ship Care,Declare one ship that you regularly spend time on. That ship reduces the accumulated pool modifier from suffered malfunctions by 4 (to a minimum of 0).,1
Engineer,Experimental Upgrade,"You may apply a unique upgrade to one of your ship's modules. If the module is ever destroyed or lost, you may create a different, new one as a downtime activity.",2
Engineer,Drone Fixer,Reduce the difficulty to repair your drones by 1 and halve the resources required.,2
Engineer,Expert Jury-Rigger,"You reduce the difficulty of the Jury-Rig action, as well as the Repair Ship downtime activity by 1.",3
Engineer,Big Boom,Increase the Area quality of a heavy weapons and grenades by 50% by spending 2 Triggers. Not stackable.,3
Engineer,Training: Intelligence,"Gain +1 Intelligence. If you already have 8 Intelligence (not counting cybernetic enhancements), you may increase another attribute instead.",4
Engineer,Irreproducible Prototype,"You obtain one weapon, gagdet, tool, armor or drone that you personally made, but are unable to mass-produce. If your prototype is ever destroyed, you may come up with a completely new prototype by spending a downtime activity.",5
Engineer,Multi-Rigger,"When attempting the Jury-Rig action, you may attempt to repair two systems at once, but increase the difficulty of both rolls by +1.",5
Engineer,Master Of Improvisation,"If you spend an edge point on a Tech check, you gain +2 pool (even if you used the edge point to just get a re-roll).",6
Engineer,Cybersecurity Specialist,"You can attempt to hack an enemy system with -2 Firewall and IC Level. On that roll, you can spend resulting Access Tokens only on the the ""Cancel"" hacking option.",6
Engineer,Training: Agility,"Gain +1 Agility. If you already have 8 Agility (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Drone Rigger,Gun Nut,"The difficulty to modify or repair firearms is reduced by 1.
Additionally, you only need half the usual AP costs to fix minor issues (like jamming) during an encounter.",0
Drone Rigger,Living Shadow,"When you are surrounded by darkness, you gain +1 defense and reduce the difficulty of infiltration and skullduggery tests by 1.",0
Drone Rigger,Drone Fixer,Reduce the difficulty to repair your drones by 1 and halve the resources required.,0
Drone Rigger,Spy,"When you hide listening bugs or espionage viruses, you gain +3 pool to hide them well.",1
Drone Rigger,Gamer Mindset,"When controlling a drone through a VR Headset, reduce the AP cost of all actions by 1 (to a minimum of 2).",1
Drone Rigger,Vehicle Specialization,"Gain +2 pool when operating a type of vehicle that you need to declare upon obtaining this talent:
Ground Vehicles, Atmospheric Vehicle, Space Ships or Drones.",2
Drone Rigger,Custom Model,"You may apply a unique modification to one of your drones that you won't have to pay for. Talk to the GM to come up with ideas. If the drone is lost, you may reapply that same modification to another drone.",2
Drone Rigger,Monitoring,"Whenever a device gains an access token on your system, the DM may make a secret Computers check for you. If you have at least 4 successes, you become aware of the attempt and the network address of the attacker.",3
Drone Rigger,Unpredictable Aim,"When targets attempt to actively dodge your shots, they suffer a -2 pool penalty.",3
Drone Rigger,Training: Agility,"Gain +1 Agility. If you already have 8 Agility (not counting cybernetic enhancements), you may increase another attribute instead.",4
Drone Rigger,Disposable Drone Army,"Declare a drone with a base value of 3000 Credits or less. After each adventure, if that drone got destroyed, you get a free repair or even replacement, including any mounted weapons and upgrades.",5
Drone Rigger,System Hardening,"As a new downtime activity, you may declare one device. You install custom subroutines, permanently granting that device +1 Firewall and +1 IC Level. Cannot be stacked multiple times on the same device.",5
Drone Rigger,Linked Control,"You can actively control two drones at once. Whenever you perform an action, you have to perform the same action with the other drone as well (or skip it on the 2nd drone). You only spend Action Points once - if the Action Point cost would differ, you spend the higher cost between the two.",6
Drone Rigger,Minion Master,Increase the AI values of your drones by +1 | +1.,6
Drone Rigger,Training: Intelligence,"Gain +1 Intelligence. If you already have 8 Intelligence (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Explorer,Climber,"You reduce the difficulty to climb by 2 and halve the time it takes to climb. Additionally, reduce the distance class of any fall by 2.",0
Explorer,Self-Treatment,You may ignore the penalty to perform First Aid or Surgery on yourself.,0
Explorer,Jerryrigging,"You can spend an Edge point to improvise a temporary tool, item or other aid. It provides someone with a +1 pool bonus for a given skill, or can substitute any low-tech item worth 200 credits or less. The item becomes unusable after one scene.",0
Explorer,Astrogation,"When using FTL drives and making a Science check, you may spend one Trigger each to increase the range of the jump by +50%. If you plan to perform several chained jumps, you only make a single roll and apply the bonus to all jumps.",1
Explorer,Chart Comprehension,"Once per adventure, you may perform an Investigation or Sensors d3 check. On a success, you become aware of a rare point of interest that may hold secrets or riches.",1
Explorer,Will To Survive,"Halve the injury modifiers that you receive from injuries (add them all up, then halve, round up).",2
Explorer,Jack Of All Trades,"After rolling, you may spend an Edge point to add a Complication to any roll. Additionally, increase your maximum edge points by +1.",2
Explorer,Disposable Drone Army,"Declare a drone with a base value of 3000 Credits or less. After each adventure, if that drone got destroyed, you get a free repair or even replacement, including any mounted weapons and upgrades.",3
Explorer,Resourceful,Increase your maximum edge points by +3.,3
Explorer,Training: Education,"Gain +1 Education. If you already have 8 Education (not counting cybernetic enhancements), you may increase another attribute instead. ",4
Explorer,Tracker,"When you attempt to track a person or creature, you gain a +3 Pool Modifier and you gain +2 Vigilance while tracking your target.",5
Explorer,Xeno Engineer,You do not suffer penalties when you use or repair alien technology.,5
Explorer,Effective Navigation,"When performing the Maneuver action, you may accept a -1 pool penalty to then gain either +1 speed or +1 maneuverability.",6
Explorer,Sample Collector,You gain access to a new downtime activity so long as you are on a planet or large asteroid: you may perform a Survival d0 check. For each success you collect a unique mineral or plant sample that you can sell for 75 Credits each.,6
