weaponType,weapon,weaponName,hands,magazine,reloadAP,attackAP,damage,damageType,optimalRange,maxRange,qualities,triggerOptions,specialRules,modLimit,cost,roundCost,rarity
Melee,Brass Knuckles,Iron Fist Knuckles,1,-,-,3,4,Physical,1,-,"Silenced, Concealed (1)","Stunning, Incapacitating, Knocking",Cannot do a parry against real melee weapons.,1,50,-,1
Melee,Club,Enforcer Club,1,-,-,4,5,Physical,1,-,"Silenced, Concealed (2)","Concussing, Incapacitating",,2,40,-,1
Melee,Bat,Titan Sports Bat,2,-,-,4,6,Physical,1,2,"Silenced, Handling (1)","Lethal (2), Concussing",,2,40,-,1
Melee,Stun Baton,Voltguard Stun Baton,1,-,-,4,3,Electrical,1,-,"Silenced, Handling (3)","Incapacitating, Stunning",,2,80,-,1
Melee,Blade,Ekris Warrior Blade,1,-,-,4,5,Physical,1,-,"Silenced, Defensive (1, Melee)",Lethal (4),,2,150,-,1
Melee,Katana,Ekris Ronin Companion,2,-,-,4,6,Physical,1,2,"Silenced, Defensive (1, Melee)",Lethal (4),"Can be wielded in one hand, but then it gains the Improvised quality.",2,250,-,2
Melee,Mono-Wire Whip,Phantom Slicer Cables,1,-,-,3,10,Physical,2-4,-,"Silenced, Concealed (1)","Murderous, Penetrating (4)",Heft is never added to the damage of attacks with this weapon. A rolled Botch means harming yourself or an ally within range for the full damage.,0,2000,-,4
Melee,Plasma Blade,Inferno Plasma Pike,2,-,-,4,7,Fire,1-2,-,"Defensive (1, Melee)","Penetrating (3), Lethal (5), Shredding (3), Plasmascorch",Requires a Plasma cell that allows the blade to be active for a total of 10 rounds (turning the Blade on and off is near-instantaneous). Replacing the cell costs 40 Credits.,3,4500,-,4
Melee,Spear,Guardsteel Battle Spear,1,-,-,4,6,Physical,1-2,-,"Silenced, Throwable (2-8 | 15), Defensive (1, Melee)","Penetrating (2), Lethal (2)","Can be wielded in two hands, providing Handling (2). Heft remains that of a one-handed weapon.",3,200,-,1
Melee,Maul,Thunderstrike Maul,2,-,-,5,8,Physical,1,-,Improvised,"Penetrating (3), Lethal (2), Concussing, Knocking",Characters with 6 Strength or more ignore Improvised.,3,225,-,1
Melee,War Axe,Ravager War Axe,2,-,-,5,8,Physical,1,-,Silenced,Lethal (5),,3,250,-,2
Melee,Mining Pickaxe,Exocore Rocksplitter,2,-,-,5,8,Physical,1,-,"Silenced, Improvised","Penetrating (5), Lethal (4)",Characters with 6 Strength or more ignore Improvised.,1,200,-,1
Melee,Small Shield,Riot Repellant,1,-,-,4,4,Physical,1,-,Defensive (1),Concussing,,1,120,-,1
Melee,Ballistic Shield,Bulwark,1,-,-,5,4,Physical,1,-,"Defensive (2), -2 Speed","Stunning, Incapacitating",Adds +1 difficulty to all attacks made due to limited vision.,2,250,-,2
